刊物名称,刊物全称,出版社,地址,等级,期刊/会议,类别
TOCS,ACM Transactions on Computer Systems,ACM,http://dblp.uni-trier.de/db/journals/tocs/,A,Journal,1
TOS,ACM Transactions on Storage,ACM,http://dblp.uni-trier.de/db/journals/tos,A,Journal,1
TCAD,IEEE Transactions On Computer-Aided Design Of Integrated Circuits And System,IEEE,http://dblp.uni-trier.de/db/journals/tcad,A,Journal,1
TC,IEEE Transactions on Computers,IEEE,http://dblp.uni-trier.de/db/journals/tc/index.html,A,Journal,1
TPDS,IEEE Transactions on Parallel and Distributed Systems,IEEE,http://dblp.uni-trier.de/db/journals/tpds/,A,Journal,1
TACO,ACM Transactions on Architecture and Code Optimization,ACM,http://dblp.uni-trier.de/db/journals/taco/,B,Journal,1
TAAS,ACM Transactions on Autonomous and Adaptive Systems,ACM,http://dblp.uni-trier.de/db/journals/taas/,B,Journal,1
TODAES,ACM Transactions on Design Automation of Electronic Systems,ACM,http://dblp.uni-trier.de/db/journals/todaes/,B,Journal,1
TECS,ACM Transactions on Embedded Computing Systems,ACM,http://dblp.uni-trier.de/db/journals/tecs/,B,Journal,1
TRETS,ACM Transactions on Reconfigurable Technology and Systems,ACM,http://dblp.uni-trier.de/db/journals/trets/,B,Journal,1
TVLSI,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,IEEE,http://dblp.uni-trier.de/db/journals/tvlsi/,B,Journal,1
JPDC,Journal of Parallel and Distributed Computing,Elsevier,http://dblp.uni-trier.de/db/journals/jpdc/,B,Journal,1
JSA,Journal of Systems Architecture: Embedded Software Design,Elsevier,http://dblp.uni-trier.de/db/journals/jsa/,B,Journal,1
PARCO,Parallel Computing,Elsevier,http://dblp.uni-trier.de/db/conf/parco/,B,Journal,1
,Performance Evaluation: An International Journal,Elsevier,http://www.journals.elsevier.com/performance-evaluation/,B,Journal,1
JETC,ACM Journal on Emerging Technologies in Computing Systems,ACM,http://dblp.uni-trier.de/db/journals/jetc/,C,Journal,1
,Concurrency and Computation: Practice and Experience,Wiley,http://dblp.uni-trier.de/db/journals/concurrency/,C,Journal,1
DC,Distributed Computing,Springer,http://dblp.uni-trier.de/db/journals/dc/,C,Journal,1
FGCS,Future Generation Computer Systems,Elsevier,http://dblp.uni-trier.de/db/journals/fgcs/,C,Journal,1
TCC,IEEE Transactions on Cloud Computing,IEEE,https://dblp.uni-trier.de/db/journals/tcc/,C,Journal,1
Integration,"Integration, the VLSI Journal",Elsevier,http://dblp.uni-trier.de/db/journals/integration/,C,Journal,1
JETTA,Journal of Electronic Testing-Theory and Applications,Springer,http://link.springer.com/journal/10836,C,Journal,1
JGC,The Journal of Grid computing,Springer,http://link.springer.com/journal/10723,C,Journal,1
MICPRO,Microprocessors and Microsystems: Embedded Hardware Design,Elsevier,http://dblp.uni-trier.de/db/journals/mam/,C,Journal,1
RTS,Real-Time Systems,Springer,http://dblp.uni-trier.de/db/journals/rts/,C,Journal,1
TJSC,The Journal of Supercomputing,Springer,http://dblp.uni-trier.de/db/journals/tjs/,C,Journal,1
PPoPP,ACM SIGPLAN Symposium on Principles & Practice of Parallel Programming,ACM,http://dblp.uni-trier.de/db/conf/ppopp/,A,Meeting,1
FAST,Conference on File and Storage Technologies,USENIX,http://dblp.uni-trier.de/db/conf/fast/,A,Meeting,1
DAC,Design Automation Conference,ACM,https://dblp.uni-trier.de/db/conf/dac/,A,Meeting,1
HPCA,High-Performance Computer Architecture,IEEE,http://dblp.uni-trier.de/db/conf/cnhpca/,A,Meeting,1
MICRO,IEEE/ACM International Symposium on Microarchitecture,IEEE/ACM,http://dblp.uni-trier.de/db/journals/micro/,A,Meeting,1
SC,"International Conference for High Performance Computing, Networking, Storage, and Analysis",IEEE,http://dblp.uni-trier.de/db/conf/sc/,A,Meeting,1
ASPLOS,International Conference on Architectural Support for Programming Languages and Operating Systems,ACM,http://dblp.uni-trier.de/db/conf/asplos/,A,Meeting,1
