刊物名称,刊物全称,出版社,地址,等级,期刊/会议,类别
TOCS,"ACM Transactions on Computer Systems","ACM",http://dblp.uni-trier.de/db/journals/tocs/,A,Journal,1
TOS,"ACM Transactions on Storage","ACM",http://dblp.uni-trier.de/db/journals/tos/,A,Journal,1
TCAD,"IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems","IEEE",http://dblp.uni-trier.de/db/journals/tcad/,A,Journal,1
TC,"IEEE Transactions on Computers","IEEE",http://dblp.uni-trier.de/db/journals/tc/index.html,A,Journal,1
TPDS,"IEEE Transactions on Parallel and Distributed Systems","IEEE",http://dblp.uni-trier.de/db/journals/tpds/,A,Journal,1
TACO,"ACM Transactions on Architecture and Code Optimization","ACM",http://dblp.uni-trier.de/db/journals/taco/,A,Journal,1
TAAS,"ACM Transactions on Autonomous and Adaptive Systems","ACM",http://dblp.uni-trier.de/db/journals/taas/,B,Journal,1
TODAES,"ACM Transactions on Design Automation of Electronic Systems","ACM",http://dblp.uni-trier.de/db/journals/todaes/,B,Journal,1
TECS,"ACM Transactions on Embedded Computing Systems","ACM",http://dblp.uni-trier.de/db/journals/tecs/,B,Journal,1
TRETS,"ACM Transactions on Reconfigurable Technology and Systems","ACM",http://dblp.uni-trier.de/db/journals/trets/,B,Journal,1
TVLSI,"IEEE Transactions on Very Large Scale Integration (VLSI) Systems","IEEE",http://dblp.uni-trier.de/db/journals/tvlsi/,B,Journal,1
JPDC,"Journal of Parallel and Distributed Computing","Elsevier",http://dblp.uni-trier.de/db/journals/jpdc/,B,Journal,1
JSA,"Journal of Systems Architecture: Embedded Software Design","Elsevier",http://dblp.uni-trier.de/db/journals/jsa/,B,Journal,1
,"Parallel Computing","Elsevier",https://dblp.org/db/journals/pc/index.html,B,Journal,1
,"Performance Evaluation: An International Journal","Elsevier",https://dblp.org/db/journals/pe/index.html,B,Journal,1
JETC,"ACM Journal on Emerging Technologies in Computing Systems","ACM",http://dblp.uni-trier.de/db/journals/jetc/,C,Journal,1
,"Concurrency and Computation: Practice and Experience","Wiley",http://dblp.uni-trier.de/db/journals/concurrency/,C,Journal,1
DC,"Distributed Computing","Springer",http://dblp.uni-trier.de/db/journals/dc/,C,Journal,1
FGCS,"Future Generation Computer Systems","Elsevier",http://dblp.uni-trier.de/db/journals/fgcs/,C,Journal,1
TCC,"IEEE Transactions on Cloud Computing","IEEE",https://dblp.uni-trier.de/db/journals/tcc/,C,Journal,1
Integration,"Integration, the VLSI Journal","Elsevier",http://dblp.uni-trier.de/db/journals/integration/,C,Journal,1
JETTA,"Journal of Electronic Testing-Theory and Applications","Springer",https://dblp.org/db/journals/et/index.html,C,Journal,1
JGC,"Journal of Grid computing","Springer",https://dblp.uni-trier.de/db/journals/grid/,C,Journal,1
RTS,"Real-Time Systems","Springer",http://dblp.uni-trier.de/db/journals/rts/,C,Journal,1
TJSC,"The Journal of Supercomputing","Springer",http://dblp.uni-trier.de/db/journals/tjs/,C,Journal,1
TCASI,"IEEE Transactions on Circuits and Systems I: Regular Papers","IEEE",https://dblp.org/db/journals/tcasI/index.html,C,Journal,1
CCF-THPC,"CCF Transactions on High Performance Computing","CCF",https://dblp.org/db/journals/ccfthpc/index.html,C,Journal,1
TSUSC,"IEEE Transactions on Sustainable Computing","IEEE",https://dblp.org/db/journals/tsusc/index.html,C,Journal,1
PPoPP,"ACM SIGPLAN Symposium on Principles & Practice of Parallel Programming","ACM",http://dblp.uni-trier.de/db/conf/ppopp/,A,Conference,1
FAST,"USENIX Conference on File and Storage Technologies","USENIX",http://dblp.uni-trier.de/db/conf/fast/,A,Conference,1
DAC,"Design Automation Conference","ACM",https://dblp.uni-trier.de/db/conf/dac/,A,Conference,1
HPCA,"IEEE International Symposium on High Performance Computer Architecture","IEEE",http://dblp.uni-trier.de/db/conf/hpca/,A,Conference,1
